"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2014","UHF 42","204","4","East New York","568","41.5","42.7"
"2014","UHF 42","205","4","Sunset Park","173","17.2","20.5"
"2014","UHF 42","206","4","Borough Park","229","9.4","9.1"
"2014","UHF 42","207","4","East Flatbush - Flatbush","493","20.9","20.6"
"2014","UHF 42","208","4","Canarsie - Flatlands","329","20.4","18.9"
"2014","UHF 42","209","4","Bensonhurst - Bay Ridge","132","7.8","7.1"
"2014","UHF 42","210","4","Coney Island - Sheepshead Bay","412","18.2","16.2"
"2014","UHF 42","211","4","Williamsburg - Bushwick","608","36.8","45.0"
"2014","UHF 42","301","4","Washington Heights","382","17.5","18.0"
"2014","UHF 42","302","4","Central Harlem - Morningside Heights","551","39.0","42.6"
"2014","UHF 42","303","4","East Harlem","396","44.5","46.0"
"2014","UHF 42","304","4","Upper West Side","225","12.0","10.6"
"2014","UHF 42","305","4","Upper East Side","99","5.3","4.9"
"2014","UHF 42","306","4","Chelsea - Clinton","147","10.4","11.7"
"2014","UHF 42","307","4","Gramercy Park - Murray Hill","80","6.7","7.6"
"2014","UHF 42","308","4","Greenwich Village - SoHo","24","3.3","3.7"
"2014","UHF 42","309","4","Union Square - Lower East Side","332","19.2","19.9"
"2014","UHF 42","310","4","Lower Manhattan","41","7.8","10.7"
"2014","UHF 42","401","4","Long Island City - Astoria","314","17.4","20.1"
"2014","UHF 42","402","4","West Queens","473","12.6","13.3"
"2014","UHF 42","403","4","Flushing - Clearview","196","9.1","7.9"
"2014","UHF 42","404","4","Bayside - Little Neck","61","8.3","7.2"
"2014","UHF 42","405","4","Ridgewood - Forest Hills","228","11.2","10.3"
"2014","UHF 42","406","4","Fresh Meadows","93","11.8","10.9"
"2014","UHF 42","407","4","Southwest Queens","286","12.7","13.0"
"2014","UHF 42","408","4","Jamaica","412","16.7","16.0"
"2014","UHF 42","409","4","Southeast Queens","187","11.1","10.2"
"2014","UHF 42","410","4","Rockaways","181","20.2","18.4"
"2014","UHF 42","501","4","Port Richmond","139","28.5","27.8"
"2014","UHF 42","502","4","Stapleton - St. George","224","23.3","22.1"
"2014","UHF 42","503","4","Willowbrook","79","11.3","10.5"
"2014","UHF 42","504","4","South Beach - Tottenville","157","10.2","9.7"
"2013","UHF 42","101","4","Kingsbridge - Riverdale","153","20.6","17.7"
"2013","UHF 42","102","4","Northeast Bronx","451","28.8","26.7"
"2013","UHF 42","103","4","Fordham - Bronx Pk","872","46.6","49.9"
"2013","UHF 42","104","4","Pelham - Throgs Neck","719","30.9","30.3"
"2013","UHF 42","105","4","Crotona -Tremont","783","51.5","56.8"
"2013","UHF 42","106","4","High Bridge - Morrisania","878","56.7","59.2"
"2013","UHF 42","107","4","Hunts Point - Mott Haven","721","71.6","75.8"
"2013","UHF 42","201","4","Greenpoint","152","14.4","19.3"
"2013","UHF 42","202","4","Downtown - Heights - Slope","370","18.2","22.1"
"2013","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","1,016","40.0","42.3"
"2013","UHF 42","204","4","East New York","583","42.7","44.1"
"2013","UHF 42","205","4","Sunset Park","207","20.9","25.5"
"2013","UHF 42","206","4","Borough Park","223","9.3","8.8"
"2013","UHF 42","207","4","East Flatbush - Flatbush","579","24.7","24.4"
"2013","UHF 42","208","4","Canarsie - Flatlands","309","19.2","17.9"
"2013","UHF 42","209","4","Bensonhurst - Bay Ridge","166","10.0","8.9"
"2013","UHF 42","210","4","Coney Island - Sheepshead Bay","463","20.6","17.4"
"2013","UHF 42","211","4","Williamsburg - Bushwick","700","42.6","51.1"
"2013","UHF 42","301","4","Washington Heights","396","18.2","18.8"
"2013","UHF 42","302","4","Central Harlem - Morningside Heights","543","38.4","42.0"
"2013","UHF 42","303","4","East Harlem","489","55.1","56.7"
"2013","UHF 42","304","4","Upper West Side","238","12.7","11.5"
"2013","UHF 42","305","4","Upper East Side","111","5.9","5.4"
"2013","UHF 42","306","4","Chelsea - Clinton","166","11.8","13.5"
"2013","UHF 42","307","4","Gramercy Park - Murray Hill","78","6.5","7.3"
"2013","UHF 42","308","4","Greenwich Village - SoHo","21","2.9","3.3"
"2013","UHF 42","309","4","Union Square - Lower East Side","368","21.4","22.3"
"2013","UHF 42","310","4","Lower Manhattan","34","6.6","10.0"
"2013","UHF 42","401","4","Long Island City - Astoria","278","15.5","17.9"
"2013","UHF 42","402","4","West Queens","457","12.3","13.1"
"2013","UHF 42","403","4","Flushing - Clearview","176","8.3","7.1"
"2013","UHF 42","404","4","Bayside - Little Neck","46","6.3","5.5"
"2013","UHF 42","405","4","Ridgewood - Forest Hills","255","12.5","11.6"
"2013","UHF 42","406","4","Fresh Meadows","91","11.6","10.6"
"2013","UHF 42","407","4","Southwest Queens","324","14.6","14.7"
"2013","UHF 42","408","4","Jamaica","397","16.3","15.6"
"2013","UHF 42","409","4","Southeast Queens","209","12.4","11.6"
"2013","UHF 42","410","4","Rockaways","223","24.9","23.2"
"2013","UHF 42","501","4","Port Richmond","159","32.9","32.6"
"2013","UHF 42","502","4","Stapleton - St. George","236","24.7","23.7"
"2013","UHF 42","503","4","Willowbrook","88","12.7","11.0"
"2013","UHF 42","504","4","South Beach - Tottenville","153","10.0","9.5"
"2012","UHF 42","101","4","Kingsbridge - Riverdale","169","22.8","20.6"
"2012","UHF 42","102","4","Northeast Bronx","537","34.6","32.5"
"2012","UHF 42","103","4","Fordham - Bronx Pk","986","53.5","57.7"
"2012","UHF 42","104","4","Pelham - Throgs Neck","866","37.6","37.0"
"2012","UHF 42","105","4","Crotona -Tremont","943","63.1","69.3"
"2012","UHF 42","106","4","High Bridge - Morrisania","954","62.6","66.4"
"2012","UHF 42","107","4","Hunts Point - Mott Haven","638","64.6","67.4"
"2012","UHF 42","201","4","Greenpoint","125","12.0","16.0"
"2012","UHF 42","202","4","Downtown - Heights - Slope","375","18.9","22.9"
