"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Annual Average 2020","UHF 42","301","4","Washington Heights","11.9","9.6","14.6"
"Annual Average 2020","UHF 42","302","4","Central Harlem - Morningside Heights","12.0","11.2","13.6"
"Annual Average 2020","UHF 42","303","4","East Harlem","12.2","11.2","13.4"
"Annual Average 2020","UHF 42","304","4","Upper West Side","12.6","11.2","14.0"
"Annual Average 2020","UHF 42","305","4","Upper East Side","14.1","12.4","15.7"
"Annual Average 2020","UHF 42","306","4","Chelsea - Clinton","15.1","12.4","17.9"
"Annual Average 2020","UHF 42","307","4","Gramercy Park - Murray Hill","14.4","12.6","16.8"
"Annual Average 2020","UHF 42","308","4","Greenwich Village - SoHo","14.6","12.7","16.4"
"Annual Average 2020","UHF 42","309","4","Union Square - Lower East Side","13.6","11.8","15.9"
"Annual Average 2020","UHF 42","310","4","Lower Manhattan","14.0","12.9","15.1"
"Annual Average 2020","UHF 42","401","4","Long Island City - Astoria","16.8","10.9","29.5"
"Annual Average 2020","UHF 42","402","4","West Queens","15.4","9.9","28.8"
"Annual Average 2020","UHF 42","403","4","Flushing - Clearview","11.3","9.4","15.3"
"Annual Average 2020","UHF 42","404","4","Bayside - Little Neck","10.0","9.4","10.8"
"Annual Average 2020","UHF 42","405","4","Ridgewood - Forest Hills","11.6","9.6","12.7"
"Annual Average 2020","UHF 42","406","4","Fresh Meadows","10.2","9.5","11.0"
"Annual Average 2020","UHF 42","407","4","Southwest Queens","10.3","9.3","11.4"
"Annual Average 2020","UHF 42","408","4","Jamaica","10.9","9.6","12.7"
"Annual Average 2020","UHF 42","409","4","Southeast Queens","10.1","9.5","10.8"
"Annual Average 2020","UHF 42","410","4","Rockaways","8.5","7.7","9.1"
"Annual Average 2020","UHF 42","501","4","Port Richmond","9.3","8.1","10.4"
"Annual Average 2020","UHF 42","502","4","Stapleton - St. George","8.5","7.6","9.3"
"Annual Average 2020","UHF 42","503","4","Willowbrook","7.8","7.0","9.0"
"Annual Average 2020","UHF 42","504","4","South Beach - Tottenville","7.3","5.8","7.7"
"Annual Average 2019","UHF 42","101","4","Kingsbridge - Riverdale","10.0","8.8","12.5"
"Annual Average 2019","UHF 42","102","4","Northeast Bronx","10.3","9.4","11.7"
"Annual Average 2019","UHF 42","103","4","Fordham - Bronx Pk","10.9","9.3","12.6"
"Annual Average 2019","UHF 42","104","4","Pelham - Throgs Neck","11.0","9.6","12.7"
"Annual Average 2019","UHF 42","105","4","Crotona -Tremont","12.9","11.3","14.9"
"Annual Average 2019","UHF 42","106","4","High Bridge - Morrisania","13.0","11.8","14.3"
"Annual Average 2019","UHF 42","107","4","Hunts Point - Mott Haven","15.2","10.7","21.4"
"Annual Average 2019","UHF 42","201","4","Greenpoint","19.1","12.8","28.6"
"Annual Average 2019","UHF 42","202","4","Downtown - Heights - Slope","14.3","11.8","17.6"
"Annual Average 2019","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","11.6","10.3","12.7"
"Annual Average 2019","UHF 42","204","4","East New York","11.0","9.4","12.8"
"Annual Average 2019","UHF 42","205","4","Sunset Park","14.2","9.8","20.2"
"Annual Average 2019","UHF 42","206","4","Borough Park","9.8","9.0","10.5"
"Annual Average 2019","UHF 42","207","4","East Flatbush - Flatbush","10.1","9.2","11.0"
"Annual Average 2019","UHF 42","208","4","Canarsie - Flatlands","9.6","8.0","12.2"
"Annual Average 2019","UHF 42","209","4","Bensonhurst - Bay Ridge","9.3","8.7","10.3"
"Annual Average 2019","UHF 42","210","4","Coney Island - Sheepshead Bay","8.7","8.1","9.2"
"Annual Average 2019","UHF 42","211","4","Williamsburg - Bushwick","15.7","10.6","25.8"
"Annual Average 2019","UHF 42","301","4","Washington Heights","13.3","10.3","17.9"
"Annual Average 2019","UHF 42","302","4","Central Harlem - Morningside Heights","12.8","11.9","14.4"
"Annual Average 2019","UHF 42","303","4","East Harlem","13.1","12.0","14.5"
"Annual Average 2019","UHF 42","304","4","Upper West Side","13.8","12.1","15.6"
"Annual Average 2019","UHF 42","305","4","Upper East Side","15.3","12.9","17.3"
"Annual Average 2019","UHF 42","306","4","Chelsea - Clinton","16.2","13.2","19.4"
"Annual Average 2019","UHF 42","307","4","Gramercy Park - Murray Hill","15.4","13.3","18.0"
"Annual Average 2019","UHF 42","308","4","Greenwich Village - SoHo","15.3","13.4","17.2"
"Annual Average 2019","UHF 42","309","4","Union Square - Lower East Side","14.0","11.9","16.9"
"Annual Average 2019","UHF 42","310","4","Lower Manhattan","14.6","13.4","15.8"
"Annual Average 2019","UHF 42","401","4","Long Island City - Astoria","15.4","11.0","24.8"
"Annual Average 2019","UHF 42","402","4","West Queens","13.9","9.8","24.4"
"Annual Average 2019","UHF 42","403","4","Flushing - Clearview","11.4","9.7","14.7"
"Annual Average 2019","UHF 42","404","4","Bayside - Little Neck","10.7","9.9","11.8"
"Annual Average 2019","UHF 42","405","4","Ridgewood - Forest Hills","10.8","9.2","11.8"
"Annual Average 2019","UHF 42","406","4","Fresh Meadows","10.3","9.5","11.4"
"Annual Average 2019","UHF 42","407","4","Southwest Queens","9.7","8.7","10.8"
"Annual Average 2019","UHF 42","408","4","Jamaica","10.6","9.6","12.1"
"Annual Average 2019","UHF 42","409","4","Southeast Queens","10.4","9.6","11.2"
"Annual Average 2019","UHF 42","410","4","Rockaways","8.0","7.2","8.6"
"Annual Average 2019","UHF 42","501","4","Port Richmond","8.2","7.5","8.8"
"Annual Average 2019","UHF 42","502","4","Stapleton - St. George","8.2","7.2","9.0"
"Annual Average 2019","UHF 42","503","4","Willowbrook","7.0","6.3","8.0"
"Annual Average 2019","UHF 42","504","4","South Beach - Tottenville","6.5","5.4","7.2"
"Annual Average 2018","UHF 42","101","4","Kingsbridge - Riverdale","12.1","10.5","14.9"
"Annual Average 2018","UHF 42","102","4","Northeast Bronx","11.1","10.1","12.4"
"Annual Average 2018","UHF 42","103","4","Fordham - Bronx Pk","13.0","10.8","15.4"
"Annual Average 2018","UHF 42","104","4","Pelham - Throgs Neck","11.7","9.5","14.4"
"Annual Average 2018","UHF 42","105","4","Crotona -Tremont","13.8","11.8","15.5"
