"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Annual Average 2017","UHF 42","103","4","Fordham - Bronx Pk","13.5","11.4","15.6"
"Annual Average 2017","UHF 42","104","4","Pelham - Throgs Neck","13.7","11.0","17.3"
"Annual Average 2017","UHF 42","105","4","Crotona -Tremont","14.8","12.7","17.0"
"Annual Average 2017","UHF 42","106","4","High Bridge - Morrisania","14.5","12.9","16.2"
"Annual Average 2017","UHF 42","107","4","Hunts Point - Mott Haven","13.6","11.1","16.3"
"Annual Average 2017","UHF 42","201","4","Greenpoint","17.6","14.2","22.7"
"Annual Average 2017","UHF 42","202","4","Downtown - Heights - Slope","18.5","14.5","22.9"
"Annual Average 2017","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","16.2","14.6","17.9"
"Annual Average 2017","UHF 42","204","4","East New York","14.8","12.8","17.2"
"Annual Average 2017","UHF 42","205","4","Sunset Park","15.4","12.3","19.5"
"Annual Average 2017","UHF 42","206","4","Borough Park","13.8","12.7","15.2"
"Annual Average 2017","UHF 42","207","4","East Flatbush - Flatbush","15.3","13.0","17.7"
"Annual Average 2017","UHF 42","208","4","Canarsie - Flatlands","12.7","11.2","14.5"
"Annual Average 2017","UHF 42","209","4","Bensonhurst - Bay Ridge","12.6","11.0","14.7"
"Annual Average 2017","UHF 42","210","4","Coney Island - Sheepshead Bay","11.8","10.5","13.2"
"Annual Average 2017","UHF 42","211","4","Williamsburg - Bushwick","16.2","15.0","17.4"
"Annual Average 2017","UHF 42","301","4","Washington Heights","14.9","11.7","18.0"
"Annual Average 2017","UHF 42","302","4","Central Harlem - Morningside Heights","15.1","13.7","16.3"
"Annual Average 2017","UHF 42","303","4","East Harlem","16.4","14.0","18.9"
"Annual Average 2017","UHF 42","304","4","Upper West Side","19.7","15.0","25.9"
"Annual Average 2017","UHF 42","305","4","Upper East Side","23.9","15.8","32.1"
"Annual Average 2017","UHF 42","306","4","Chelsea - Clinton","25.2","16.9","32.1"
"Annual Average 2017","UHF 42","307","4","Gramercy Park - Murray Hill","25.1","19.9","30.3"
"Annual Average 2017","UHF 42","308","4","Greenwich Village - SoHo","29.3","20.2","40.5"
"Annual Average 2017","UHF 42","309","4","Union Square - Lower East Side","23.7","15.2","32.3"
"Annual Average 2017","UHF 42","310","4","Lower Manhattan","21.2","18.1","24.7"
"Annual Average 2017","UHF 42","401","4","Long Island City - Astoria","14.4","12.3","16.4"
"Annual Average 2017","UHF 42","402","4","West Queens","14.4","12.5","16.4"
"Annual Average 2017","UHF 42","403","4","Flushing - Clearview","12.3","10.9","14.6"
"Annual Average 2017","UHF 42","404","4","Bayside - Little Neck","11.9","10.5","13.9"
"Annual Average 2017","UHF 42","405","4","Ridgewood - Forest Hills","14.3","12.7","16.4"
"Annual Average 2017","UHF 42","406","4","Fresh Meadows","12.6","11.1","14.1"
"Annual Average 2017","UHF 42","407","4","Southwest Queens","13.0","11.7","14.6"
"Annual Average 2017","UHF 42","408","4","Jamaica","12.0","10.9","13.7"
"Annual Average 2017","UHF 42","409","4","Southeast Queens","10.8","10.1","11.6"
"Annual Average 2017","UHF 42","410","4","Rockaways","10.1","9.6","10.7"
"Annual Average 2017","UHF 42","501","4","Port Richmond","9.5","8.3","10.4"
"Annual Average 2017","UHF 42","502","4","Stapleton - St. George","10.4","8.9","12.1"
"Annual Average 2017","UHF 42","503","4","Willowbrook","8.5","7.2","10.5"
"Annual Average 2017","UHF 42","504","4","South Beach - Tottenville","6.8","5.7","8.2"
"Annual Average 2016","UHF 42","101","4","Kingsbridge - Riverdale","13.2","11.3","17.2"
"Annual Average 2016","UHF 42","102","4","Northeast Bronx","14.6","12.6","18.4"
"Annual Average 2016","UHF 42","103","4","Fordham - Bronx Pk","14.9","12.6","17.3"
"Annual Average 2016","UHF 42","104","4","Pelham - Throgs Neck","15.9","12.8","20.5"
"Annual Average 2016","UHF 42","105","4","Crotona -Tremont","16.8","14.3","19.6"
"Annual Average 2016","UHF 42","106","4","High Bridge - Morrisania","16.4","14.6","18.5"
"Annual Average 2016","UHF 42","107","4","Hunts Point - Mott Haven","15.6","12.9","18.8"
"Annual Average 2016","UHF 42","201","4","Greenpoint","20.4","16.4","26.4"
"Annual Average 2016","UHF 42","202","4","Downtown - Heights - Slope","21.2","16.4","26.2"
"Annual Average 2016","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","19.0","17.3","20.9"
"Annual Average 2016","UHF 42","204","4","East New York","18.2","15.6","21.6"
"Annual Average 2016","UHF 42","205","4","Sunset Park","17.7","14.2","22.6"
"Annual Average 2016","UHF 42","206","4","Borough Park","16.2","14.9","17.8"
"Annual Average 2016","UHF 42","207","4","East Flatbush - Flatbush","18.1","15.5","20.8"
"Annual Average 2016","UHF 42","208","4","Canarsie - Flatlands","15.6","13.8","17.6"
"Annual Average 2016","UHF 42","209","4","Bensonhurst - Bay Ridge","14.9","13.2","17.4"
"Annual Average 2016","UHF 42","210","4","Coney Island - Sheepshead Bay","14.4","13.0","16.0"
"Annual Average 2016","UHF 42","211","4","Williamsburg - Bushwick","18.8","17.5","20.2"
"Annual Average 2016","UHF 42","301","4","Washington Heights","16.5","12.8","20.3"
