"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean ppb","10th percentile ppb","90th percentile ppb"
"Summer 2016","UHF 42","203","4","Bedford Stuyvesant - Crown Heights","33.0","32.1","33.9"
"Summer 2016","UHF 42","204","4","East New York","34.3","33.4","35.3"
"Summer 2016","UHF 42","205","4","Sunset Park","33.3","32.2","34.6"
"Summer 2016","UHF 42","206","4","Borough Park","33.5","32.8","34.3"
"Summer 2016","UHF 42","207","4","East Flatbush - Flatbush","33.7","32.8","34.3"
"Summer 2016","UHF 42","208","4","Canarsie - Flatlands","35.8","34.2","38.4"
"Summer 2016","UHF 42","209","4","Bensonhurst - Bay Ridge","34.2","32.8","35.9"
"Summer 2016","UHF 42","210","4","Coney Island - Sheepshead Bay","35.6","34.5","37.2"
"Summer 2016","UHF 42","211","4","Williamsburg - Bushwick","33.0","32.4","33.7"
"Summer 2016","UHF 42","301","4","Washington Heights","31.9","31.1","33.0"
"Summer 2016","UHF 42","302","4","Central Harlem - Morningside Heights","31.4","30.7","32.3"
"Summer 2016","UHF 42","303","4","East Harlem","31.6","30.9","32.7"
"Summer 2016","UHF 42","304","4","Upper West Side","30.5","30.1","31.1"
"Summer 2016","UHF 42","305","4","Upper East Side","30.2","28.1","32.8"
"Summer 2016","UHF 42","306","4","Chelsea - Clinton","28.8","26.5","31.4"
"Summer 2016","UHF 42","307","4","Gramercy Park - Murray Hill","27.5","26.0","29.4"
"Summer 2016","UHF 42","308","4","Greenwich Village - SoHo","30.0","29.3","31.2"
"Summer 2016","UHF 42","309","4","Union Square - Lower East Side","30.1","28.5","31.6"
"Summer 2016","UHF 42","310","4","Lower Manhattan","29.7","28.9","30.8"
"Summer 2016","UHF 42","401","4","Long Island City - Astoria","33.1","32.5","34.0"
"Summer 2016","UHF 42","402","4","West Queens","33.1","32.4","34.0"
"Summer 2016","UHF 42","403","4","Flushing - Clearview","33.4","32.8","34.4"
"Summer 2016","UHF 42","404","4","Bayside - Little Neck","33.0","31.9","34.1"
